,Name,University,Sport,Sponsors,Number_Sponsors,Instagram,Twitter,Conference,Insta_dummy,Twitter_dummy,group
1766,Pierce Enxuto,Seton Hall University,Soccer,Barstool Sports,1,pierce_enxuto,,Non Power Five Conference,1,0,1
1767,Buddy Fultz,Jackson State University,Baseball,Barstool Sports,1,buddyfultz59,@Buddyfultz59,Non Power Five Conference,1,1,1
1768,Sydney Ballew,University of Cincinnati,Lacrosse,Barstool Sports,1,sydney_ballew,@sydney_balleww,Non Power Five Conference,1,1,1
1769,David Kennicott,Austin Peay State University,Baseball,Barstool Sports,1,david_kennicott,@KennicottDavid,Non Power Five Conference,1,1,1
1770,Lawson Blake,University of Arkansas,Basketball,Barstool Sports,1,lawson.blake,@_lawsonblake_,Southeastern Conference,1,1,0
1771,Dalton Daddona,College of the Holy Cross,Football,Barstool Sports,1,daltondaddona,@DaltonDaddona,Non Power Five Conference,1,1,1
1772,Brian Anderson,University of North Carolina at Chapel Hill,Football,Barstool Sports,1,andersonbrian98,@AndersonBrian98,Atlantic Coast Conference,1,1,0
1773,Emma-Lu Marsh,Texas A&M University,Equestrian,Barstool Sports,1,emarsh35,@emarsh35,Southeastern Conference,1,1,0
1774,Preslie Hewitt,"University of Nevada, Reno",Softball,Barstool Sports,1,preslie.hewitt,@PreslieHewitt,Non Power Five Conference,1,1,1
1775,Libby Fleming,Texas Tech University,Golf,Barstool Sports,1,Libbyyfleming,,Big 12,1,0,0
1776,Sean Coghlan,University of Illinois at Urbana - Champaign,Football,Barstool Sports,1,seany_cogs,@seany_cogs,Big 10,1,1,0
1777,Fredrick Ayoub,Long Island University,Swimming and Diving,Barstool Sports,1,fred.ayoub,@theawesomefred,Non Power Five Conference,1,1,1
1778,Olivia Cohen,Appalachian State University,Soccer,Barstool Sports,1,olivia_cohenn,@ocohen_11,Non Power Five Conference,1,1,1
1779,Michael Snyder,University of Washington,Baseball,Barstool Sports,1,_michaelsnyder_,@_michaelsnyder_,Pac-12,1,1,0
1780,Brendan Hunt,Mercer University,Football,Barstool Sports,1,brendan.hunt,@brendanhunt0,Non Power Five Conference,1,1,1
1781,Kiara Richards,North Carolina Agricultural and Technical State University,Softball,Barstool Sports,1,kiara_richards15,@Kiara_Richards5,Non Power Five Conference,1,1,1
1782,Margaret Musselman,Morehead State University,Beach Volleyball,Barstool Sports,1,Mar_mussels,@Mussels8,Non Power Five Conference,1,1,1
1783,Ashlyn Sage,University of Arkansas,Basketball,Barstool Sports,1,ashlyn.sage,@AshlynSage15,Southeastern Conference,1,1,0
1784,Emma Villas-Gomis,University of North Texas,Basketball,Barstool Sports,1,emma_vls,@emma_vls,Non Power Five Conference,1,1,1
1785,Mason Arnold,The Ohio State University,Football,Barstool Sports,1,themasonarnold,@TheMasonArnold,Big 10,1,1,0
1786,Shane Ciucci,Marshall University,Football,Barstool Sports,1,shane_ciucci,@CiucciShane,Non Power Five Conference,1,1,1
1787,Amanda Hall,Boston College,Rowing,Barstool Sports,1,amaandahall_,@AmandaHallRows,Atlantic Coast Conference,1,1,0
1788,Luka Zurak,Butler University,Football,Barstool Sports,1,luka_zurak,@Luka_Z18,Non Power Five Conference,1,1,1
1789,Zak Zinter,University of Michigan,Football,Barstool Sports,1,_popz65,@zak_zinter,Big 10,1,1,0
1790,Sam Loda,Central Connecticut State University,Baseball,Barstool Sports,1,sam_loda13,@SamLoda,Non Power Five Conference,1,1,1
1791,Trevor Bycznski,University at Buffalo,Football,Barstool Sports,1,trevor_bycznski,@bycznski8,Non Power Five Conference,1,1,1
1792,Ainsley Thurston,Duke University,Lacrosse,Barstool Sports,1,a.thurston,@ainsleyt_,Atlantic Coast Conference,1,1,0
1793,Joe Marinaro,Boston College,Football,Barstool Sports,1,jmarinaro45,@JoeMarinaro23,Atlantic Coast Conference,1,1,0
1794,Jake Miller,Valparaiso University,Baseball,Barstool Sports,1,jakemiller.29,@jakemiller296,Non Power Five Conference,1,1,1
1795,Dan Petcash,Binghamton University,Basketball,Barstool Sports,1,danpetcash,@DPetcash,Non Power Five Conference,1,1,1
1796,Brayden Eidson,Kennesaw State University,Baseball,Barstool Sports,1,brayden.eidson,@brayden21eidson,Non Power Five Conference,1,1,1
1797,Cailey Joyce,Marshall University,Softball,Barstool Sports,1,cailey_joyce,@cailey_joyce,Non Power Five Conference,1,1,1
1798,Daniel Gaspar,University of Missouri - Kansas City,Golf,Barstool Sports,1,daniel_par99,,Non Power Five Conference,1,0,1
1799,Hunter Pearson,University of Virginia,Football,Barstool Sports,1,hunterpearson_,@HunterPearson_,Atlantic Coast Conference,1,1,0
1800,Emma Boutorwick,University of Toledo,Soccer,Barstool Sports,1,emmaboutorwick,@emmaboutorwick,Non Power Five Conference,1,1,1
1801,Halle Douglass,University of Wisconsin - Madison,Basketball,Barstool Sports,1,halledouglass,@halledouglass,Big 10,1,1,0
1802,Jacey Albaugh,Texas Christian University,Equestrian,Barstool Sports,1,jacey.albaugh,@jacey129,Big 12,1,1,0
1803,Allyson Richardson,University of North Carolina at Charlotte,Track and Field,Barstool Sports,1,allyrichardsonn,,Non Power Five Conference,1,0,1
1804,Jaala Torrence,University of Alabama,Softball,Barstool Sports,1,jaala.torrence,@Jaalat_10,Southeastern Conference,1,1,0
1805,Flynn Reed,East Carolina University,Lacrosse,Barstool Sports,1,flynnreed,@flynnreed_,Non Power Five Conference,1,1,1
1806,Dani Seaman,Monmouth University,Bowling,Barstool Sports,1,da.ni__,@danielleseaman4,Non Power Five Conference,1,1,1
1807,Dac Archer,Radford University,Baseball,Barstool Sports,1,,,Non Power Five Conference,0,0,1
1808,Sammy Popper,Princeton University,Field Hockey,Barstool Sports,1,sammypopper2,@spopper2,Non Power Five Conference,1,1,1
1809,Mike Melaragni,Western Michigan University,Soccer,Barstool Sports,1,mikemelaragni,@mikemelaragni,Non Power Five Conference,1,1,1
1810,Jace Minni,Gonzaga University,Golf,Barstool Sports,1,jace_minni,@jace_minni,Non Power Five Conference,1,1,1
1811,Megan Robertson,California Institute of Technology,Soccer,Barstool Sports,1,mhayghan,,Non Power Five Conference,1,0,1
1812,Kelly Bran,Georgetown University,Volleyball,Barstool Sports,1,kellybrannn,@Kellybranmuffin,Non Power Five Conference,1,1,1
1813,Maddie Butters,Houston Baptist University,Beach Volleyball,Barstool Sports,1,maddiebutters,@butters_maddie,Non Power Five Conference,1,1,1
1814,Caroline Sweeney,Northeastern University,Field Hockey,Barstool Sports,1,carolinesweeney_,,Non Power Five Conference,1,0,1
1815,Lexie Blair,University of Michigan,Softball,Barstool Sports,1,lexieeblairr,@lexieeblairr,Big 10,1,1,0
1816,Dakota Gaillard,Washington State University,Baseball,Barstool Sports,1,dakotagaillard_,@DakotaGaillard,Pac-12,1,1,0
1817,Emma Kee,Princeton University,Ice Hockey,Barstool Sports,1,emma.kee,@Emmakee_14,Non Power Five Conference,1,1,1
1818,Mallory Uihlein,Pennsylvania State University,Ice Hockey,Barstool Sports,1,malloryuihlein,@mallory_uihlein,Big 10,1,1,0
1819,Ellie Podojil,University of Arkansas,Soccer,Barstool Sports,1,elliepodojil,@ElliePodojil,Southeastern Conference,1,1,0
1820,Reggie Crawford,University of Connecticut,Baseball,Barstool Sports,1,iamreggiecrawford,@reggiec21,Non Power Five Conference,1,1,1
1821,Ben Scott,Arizona State University,Football,Barstool Sports,1,benscott66_,@Bscott66_,Pac-12,1,1,0
1822,Mike Gregoire,University of Wisconsin - Madison,Football,Barstool Sports,1,mikegregoire_,@MikeGregoire18,Big 10,1,1,0
1823,James Noles,Texas State University,Track and Field,Barstool Sports,1,tylerjames_90,@TylerNoles90,Non Power Five Conference,1,1,1
1824,Riley Smith,Boise State University,Football,Barstool Sports,1,rsmith_9,@rileysmith_9,Non Power Five Conference,1,1,1
1825,Audrey Klemp,Loyola Marymount University,Volleyball,Barstool Sports,1,audreyklemp,@AudreyKlemp,Non Power Five Conference,1,1,1
1826,Chloe Leiter,La Salle University,Lacrosse,Barstool Sports,1,Chloeleiter_,@ChloeLeiter_,Non Power Five Conference,1,1,1
1827,Lovin Marsicano,University of Saint Joseph,Basketball,Barstool Sports,1,lovinmarsicano,@Im_LOVINitt,Non Power Five Conference,1,1,1
1828,Dion Murombe,University of Arkansas at Little Rock,Track and Field,Barstool Sports,1,_dion88,@diooon_11,Non Power Five Conference,1,1,1
1829,Braden Bamburowski,Mercer University,Baseball,Barstool Sports,1,bradenbam_,@braden_bam25,Non Power Five Conference,1,1,1
1830,Whitney Albert,University of Florida,Lacrosse,Barstool Sports,1,whitneyalbert246,@Walbert19Albert,Southeastern Conference,1,1,0
1831,Ben Stille,University of Nebraska - Lincoln,Football,[],0,b_stille,@b_stille_,Big 10,1,1,0
1832,Antwan Owens,Jackson State University,Football,3KINGS Grooming,1,,,Non Power Five Conference,0,0,1
1833,Bo Nix,Auburn University,Football,Milo's Tea Company,1,bonix10,@BoNix10,Southeastern Conference,1,1,0
1834,Kayshon Boutte,Louisiana State University,Football,Yoke Gaming,1,kay.boutte1,@KayshonB15,Southeastern Conference,1,1,0
1835,DeMarcco Hellams,University of Alabama,Football,Yoke Gaming,1,,,Southeastern Conference,0,0,0
1836,Evan Neal,University of Alabama,Football,Yoke Gaming,1,,,Southeastern Conference,0,0,0
1837,"Tyrone Tracy, Jr.",University of Iowa,Football,Yoke Gaming,1,Iam_ttjxi,@TyroneTracy,Big 10,1,1,0
1838,Ladarius Tennison,Auburn University,Football,Yoke Gaming,1,,,Southeastern Conference,0,0,0
1839,Zion Puckett,Auburn University,Football,Yoke Gaming,1,,,Southeastern Conference,0,0,0
1840,Devan Barrett,Auburn University,Football,Yoke Gaming,1,,,Southeastern Conference,0,0,0
1841,Marquis Burks,Auburn University,Football,Yoke Gaming,1,,,Southeastern Conference,0,0,0
1842,Eric Reed Jr.,Auburn University,Football,Yoke Gaming,1,,,Southeastern Conference,0,0,0
1843,J.J. Evans,Auburn University,Football,Yoke Gaming,1,,,Southeastern Conference,0,0,0
1844,Dre Butler,Auburn University,Football,Yoke Gaming,1,,,Southeastern Conference,0,0,0
1845,Jaylin Simpson,Auburn University,Football,Yoke Gaming,1,,,Southeastern Conference,0,0,0
1846,Joko Willis,Auburn University,Football,Yoke Gaming,1,,,Southeastern Conference,0,0,0
1847,Ja'Varrius Johnson,Auburn University,Football,Yoke Gaming,1,,,Southeastern Conference,0,0,0
1848,Shaun Shivers,Auburn University,Football,Yoke Gaming,1,,,Southeastern Conference,0,0,0
1849,Blake Corum,University of Michigan,Football,Yoke Gaming,1,,,Big 10,0,0,0
1850,Mike Sainristil,University of Michigan,Football,Yoke Gaming,1,,,Big 10,0,0,0
1851,Aaron Willis,University of Tennessee,Football,Yoke Gaming,1,44crzy,@44crzy,Southeastern Conference,1,1,0
1852,Samantha Gillas,University of Iowa,Tennis,Barstool Sports,1,sammigillas,,Big 10,1,0,0
1853,Koby Cumberlander,Marshall University,Football,Barstool Sports,1,Cumbi_32,@Koby_DE,Non Power Five Conference,1,1,1
1854,Sydney Joyce,University of Rhode Island,Swimming and Diving,Barstool Sports,1,syd_joyce24,@sydjoyce24,Non Power Five Conference,1,1,1
1855,Payden Bordeau,University of Georgia,Softball,Barstool Sports,1,paybordeau,@paydenbordeau,Southeastern Conference,1,1,0
1856,Noah Ormsby,University of Idaho,Football,Barstool Sports,1,noah_ormsby,@noah_ormsby,Non Power Five Conference,1,1,1
1857,Natasha Munro,"University of Maryland, Baltimore County",Soccer,Barstool Sports,1,tash.munro,@tashmunro17,Non Power Five Conference,1,1,1
1858,Sammy Fenton,University of Pennsylvania,Softball,Barstool Sports,1,sammyfentonn,@sammyfentonn,Non Power Five Conference,1,1,1
1859,Patrick Freeman,Appalachian State University,Track and Field,Barstool Sports,1,p_atrck,,Non Power Five Conference,1,0,1
1860,Megan Gormley,Georgetown University,Golf,Barstool Sports,1,gorms68,@megangormley16,Non Power Five Conference,1,1,1
1861,Logan Fink,Kennesaw State University,Baseball,Barstool Sports,1,loganfink_26,@logan_fink23,Non Power Five Conference,1,1,1
1862,Lloyd McFarquhar,The Ohio State University,Football,Barstool Sports,1,presidentlloyd,@presidentlloyd_,Big 10,1,1,0
1863,Dani Dabroski,Villanova University,Softball,Barstool Sports,1,danidabroski,@DaniDabroski,Non Power Five Conference,1,1,1
1864,Kevin Bruggeman,Hofstra University,Baseball,Barstool Sports,1,kevinbruggs,@KevinBruggeman5,Non Power Five Conference,1,1,1
1865,Joey Rezek,East Carolina University,Baseball,Barstool Sports,1,joeyrezek,@joer3453,Non Power Five Conference,1,1,1
1866,Bennett Schwartz,Bucknell University,Soccer,Barstool Sports,1,bennett.schwartz,,Non Power Five Conference,1,0,1
1867,Nate Wolf,College of the Holy Cross,Baseball,Barstool Sports,1,nwolf9,@big_bad_wolf9,Non Power Five Conference,1,1,1
1868,Logan Wolf,University of Northern Iowa,Football,Barstool Sports,1,logan_wolf17,@19logwol,Non Power Five Conference,1,1,1
1869,Jack Carter,Boston College,Cross Country,Barstool Sports,1,jackjmcarter,@jjc_jack,Atlantic Coast Conference,1,1,0
1870,Brady Buell,Houston Baptist University,Football,Barstool Sports,1,bradybuell,@Brady_Buell,Non Power Five Conference,1,1,1
1871,Alexandra McNeil,Boston College,Track and Field,Barstool Sports,1,leximcneil_,@leximcneil_,Atlantic Coast Conference,1,1,0
1872,Raeli Howerton,University of Louisville,Track and Field,Barstool Sports,1,raelihowerton,@raelihowerton,Atlantic Coast Conference,1,1,0
1873,Gunnar Helm,University of Texas at Austin,Football,Barstool Sports,1,Gunnarbhelm,@gunnar_helm,Big 12,1,1,0
1874,Alphonso Taylor,Southeastern Louisiana University,Football,Barstool Sports,1,the_kingtaylor24,@AlphonsoTaylor5,Non Power Five Conference,1,1,1
1875,Will Sturek,Ohio University,Baseball,Barstool Sports,1,williamsturek,@WilliamSturek,Non Power Five Conference,1,1,1
1876,John Modugno,Indiana University,Baseball,Barstool Sports,1,john_modungo,@JohnBlaise_,Big 10,1,1,0
1877,Khadin Soto,Purdue University,Swimming and Diving,Barstool Sports,1,khadinsoto,@khadin_soto,Big 10,1,1,0
1878,Zach Visentin,Idaho State University,Basketball,Barstool Sports,1,Zachary_Visentin,@VisentinZachary,Non Power Five Conference,1,1,1
1879,Hayden Malenfant,Southeast Missouri State University,Baseball,Barstool Sports,1,haydenmalenfant,@h_malenfant,Non Power Five Conference,1,1,1
1880,Dennis Mensah,University of Missouri - Kansas City,Soccer,Barstool Sports,1,dennis.messiah,@Junior_D2x,Non Power Five Conference,1,1,1
1881,Pavel Badaiants,Saint Louis University,Tennis,Barstool Sports,1,pavlikbadaiants,@pavlikbadaiants,Non Power Five Conference,1,1,1
1882,Ben Dukes,Rice University,Baseball,Barstool Sports,1,bendukes_,@_bendukes,Non Power Five Conference,1,1,1
1883,Daniel Pellerito,College of William & Mary,Tennis,Barstool Sports,1,dannypells,,Non Power Five Conference,1,0,1
1884,Josiah Fick,University of Minnesota,Swimming and Diving,Barstool Sports,1,josiah_fick,@Josiah_fick,Big 10,1,1,0
1885,Carter Johnson,Virginia Military Institute,Football,Barstool Sports,1,carter_j1999,@Carter23956283,Non Power Five Conference,1,1,1
1886,Nicky Gasbarro,University of Illinois at Urbana - Champaign,Wrestling,Barstool Sports,1,NickyGasbarro,@Nicky_Gasbarro,Big 10,1,1,0
1887,John Lanier,The Citadel,Baseball,Barstool Sports,1,John_lanier21,@johnlanier21,Non Power Five Conference,1,1,1
1888,Caleb O'Toole,Western Kentucky University,Golf,Barstool Sports,1,Calebotoole31,@calebotoole,Non Power Five Conference,1,1,1
1889,Giuseppe Chiovera,New Jersey Institute of Technology,Lacrosse,Barstool Sports,1,giuseppe.chiovera,@Seppe_chiovera,Non Power Five Conference,1,1,1
1890,Ben Fee,United States Naval Academy,Football,Barstool Sports,1,Benny_Fee,@Benny_Fee,Non Power Five Conference,1,1,1
1891,Dan Klepchick,Monmouth University,Baseball,Barstool Sports,1,danklep34,@danklep20,Non Power Five Conference,1,1,1
1892,Kayleigh Nicholson,Gardner - Webb University,Softball,Barstool Sports,1,kayleighn22,@kayleighnich15,Non Power Five Conference,1,1,1
1893,Gracie Van Driel,University of Kansas,Volleyball,Barstool Sports,1,gracievandriel,@gracievandriel,Big 12,1,1,0
1894,Alexis Rich,University of Cincinnati,Lacrosse,Barstool Sports,1,alexisrichh,@AlexisRich20,Non Power Five Conference,1,1,1
1895,Claire Gerdes,University of South Dakota,Volleyball,Barstool Sports,1,claire_gerdes,@clairegerdess,Non Power Five Conference,1,1,1
1896,Justin Guiliano,Canisius College,Baseball,Barstool Sports,1,justinguiliano,@justinguiliano,Non Power Five Conference,1,1,1
1897,Keaton Anthony,University of Iowa,Baseball,Barstool Sports,1,keatonanthony5,@keatonanthony05,Big 10,1,1,0
1898,Leighton Banjoff,University of Nebraska - Lincoln,Baseball,Barstool Sports,1,lbanjoff,@lbanjoff,Big 10,1,1,0
1899,Owen Murphy,University of Akron,Football,Barstool Sports,1,Owen.murph,@owen__murphy,Non Power Five Conference,1,1,1
1900,Sarah Robertson,Miami University,Soccer,Barstool Sports,1,sarah.robertson8,@sarah8robertson,Non Power Five Conference,1,1,1
1901,Jennifer Rosenberg,University of North Carolina at Charlotte,Golf,Barstool Sports,1,Jenny__rosenberg,@Jenb_rosenberg,Non Power Five Conference,1,1,1
1902,Kyle Novak,James Madison University,Baseball,Barstool Sports,1,Kyle_novak5,@kpnovak5,Non Power Five Conference,1,1,1
1903,Alex Wade,University of South Carolina,Swimming and Diving,Barstool Sports,1,Alex.wade,@Awade181,Southeastern Conference,1,1,0
1904,CJ Neville,Loyola Marymount University,Soccer,Barstool Sports,1,cj_neville,@cj_neville,Non Power Five Conference,1,1,1
1905,Max Luc,Illinois State University,Football,Barstool Sports,1,Maxluc20,@maxluc20,Non Power Five Conference,1,1,1
1906,Luke Chakonis,Duke University,Wrestling,Barstool Sports,1,Lukechak33,@ChakonisLuke,Atlantic Coast Conference,1,1,0
1907,Andrew Horvath,University of Akron,Baseball,Barstool Sports,1,andrew_horvath1,@ahorvath521,Non Power Five Conference,1,1,1
1908,Marissa Trivelpiece,Michigan State University,Softball,Barstool Sports,1,marissa_trivelpiece,@MTrivelpiece,Big 10,1,1,0
1909,Will Giannakouros,American University,Soccer,Barstool Sports,1,Will_giannakouros,@W_giannakouros,Non Power Five Conference,1,1,1
1910,Emerson Hurst,Towson University,Gymnastics,Barstool Sports,1,emhrst,@emhrst,Non Power Five Conference,1,1,1
1911,Ella Squibb,Butler University,Lacrosse,Barstool Sports,1,e.squibb,@ellasquibb,Non Power Five Conference,1,1,1
1912,Leah Rubino,Butler University,Lacrosse,Barstool Sports,1,leah_rubino,@leah_rubino,Non Power Five Conference,1,1,1
1913,Elizabeth Norris,University of North Dakota,Volleyball,Barstool Sports,1,ehnorris4,@ehnorris4,Non Power Five Conference,1,1,1
1914,George Spithorst,"University of California, Berkeley",Football,Barstool Sports,1,georgespithorst,@GSpithorst,Pac-12,1,1,0
1915,Sophie Pearson,"University of California, San Diego",Tennis,Barstool Sports,1,sophie.pearson,@_sophiepearson,Non Power Five Conference,1,1,1
1916,Ethan Woods,Stanford University,Wrestling,Barstool Sports,1,ewoodsie2,@ewoodsie2,Pac-12,1,1,0
1917,Spencer Goodell,University of Oklahoma,Gymnastics,Barstool Sports,1,spencer.cole.goodell,@GoodellSpencer,Big 12,1,1,0
1918,Hannah Abbott,University of Maine,Field Hockey,Barstool Sports,1,Hannahabbottttt,@hannahabbottttt,Non Power Five Conference,1,1,1
1919,Michael Mauricio,Dartmouth College,Lacrosse,Barstool Sports,1,Mikey777mauricio,@mikemauricio32,Non Power Five Conference,1,1,1
1920,Ray Baran,University of Richmond,Lacrosse,Barstool Sports,1,ray_baran,@raybs_1,Non Power Five Conference,1,1,1
1921,Stefan Raeth,University of Washington,Baseball,Barstool Sports,1,raethstefan,@raeth_stefan,Pac-12,1,1,0
1922,Jack Marshall,Abilene Christian University,Track and Field,Barstool Sports,1,jackmarshallofficial,@jacktxf,Non Power Five Conference,1,1,1
1923,Jason Grande,Bentley University,Ice Hockey,Barstool Sports,1,grandeezyy,@jasongrande27,Non Power Five Conference,1,1,1
1924,Javonni Cunningham,Cornell University,Football,Barstool Sports,1,j.cunn21,@javonni2000,Non Power Five Conference,1,1,1
1925,Ja'derris Carr,Princeton University,Football,Barstool Sports,1,j1ggie,@J1ggie,Non Power Five Conference,1,1,1
1926,Kathleen Maley,University of Tennessee,Cross Country,Barstool Sports,1,kmaleyy,@kathleenmaley_,Southeastern Conference,1,1,0
1927,Jackson Webb,University of Oklahoma,Track and Field,Barstool Sports,1,jacksonwebb15,@JacksonWebb28,Big 12,1,1,0
1928,Thomas Ferrara,Cornell University,Football,Barstool Sports,1,thomas.ferrara,@Thomas_F8880,Non Power Five Conference,1,1,1
1929,Mac McCroskey,Oral Roberts University,Baseball,Barstool Sports,1,mac_mccroskey,@macmccroskey5,Non Power Five Conference,1,1,1
1930,Mathew Santos,Rice University,Baseball,Barstool Sports,1,mathew.santos_,@SouthpawSantos,Non Power Five Conference,1,1,1
1931,Tyler Draper,Robert Morris University,Ice Hockey,Barstool Sports,1,tydrape34,@tydrape34,Non Power Five Conference,1,1,1
1932,Mary Kate Conniff,Villanova University,Lacrosse,Barstool Sports,1,marykateconniff,@marykateconniff,Non Power Five Conference,1,1,1
1933,Honus Wagner,Gardner - Webb University,Football,Barstool Sports,1,honuswagner_4,@HonusWagner_33,Non Power Five Conference,1,1,1
1934,Joe Placek,Kansas State University,Track and Field,Barstool Sports,1,joe_placek,@JoePlacek3,Big 12,1,1,0
1935,Zach Barrett,University of Vermont,Soccer,Barstool Sports,1,zbarrett23,@ZachBarrett13,Non Power Five Conference,1,1,1
1936,Devon Johnson,University of Hawaii at Manoa,Volleyball,Barstool Sports,1,devon_johnson9,@Devoonnj,Non Power Five Conference,1,1,1
1937,Kiara Rhodes,Baylor University,Track and Field,Barstool Sports,1,kirhodes,@goodvibeskiara,Big 12,1,1,0
1938,Toren Herrick,Davidson College,Baseball,Barstool Sports,1,tore.herri,@torenherrick,Non Power Five Conference,1,1,1
1939,Daniel McAuliff,Florida International University,Baseball,Barstool Sports,1,dannymcauliff2,@DanielMcauliff,Non Power Five Conference,1,1,1
1940,Hailey DuBose,University of Massachusetts Lowell,Soccer,Barstool Sports,1,haileydubose,@HaileyDuBose2,Non Power Five Conference,1,1,1
1941,Michael Morell,University of North Carolina at Wilmington,Soccer,Barstool Sports,1,michael_morell,@michaelmorell0,Non Power Five Conference,1,1,1
1942,Alexi Hardy,University of Akron,Lacrosse,Barstool Sports,1,alexiihardyy,@alexihardyy,Non Power Five Conference,1,1,1
1943,Claudia Scherbin,Clemson University,Rowing,Barstool Sports,1,claudscherbin,@CScherbin,Atlantic Coast Conference,1,1,0
1944,Brooke Hurst,Temple University,Soccer,Barstool Sports,1,brookehursttt,@brooke_hurst3,Non Power Five Conference,1,1,1
1945,Colton Bauer,The Ohio State University,Baseball,Barstool Sports,1,colton.bauer,@bauer_colton,Big 10,1,1,0
1946,Brock Nartker,Wright State University,Baseball,Barstool Sports,1,brocknartker,@BrockNartker,Non Power Five Conference,1,1,1
1947,Sam Brescia,University of Oregon,Lacrosse,Barstool Sports,1,sbrescia,,Pac-12,1,0,0
1948,Georgia Beachley,Towson University,Field Hockey,Barstool Sports,1,gbeach15,@PEACHEZnBEACHEZ,Non Power Five Conference,1,1,1
1949,Anthony Kehrer,University of Wisconsin - Madison,Ice Hockey,Barstool Sports,1,anthonykehrer,@KehrerAnthony,Big 10,1,1,0
1950,John Medich,Georgia Institute of Technology,Baseball,Barstool Sports,1,johnmedich,@JohnMedich,Atlantic Coast Conference,1,1,0
1951,T.J. Bass,University of Oregon,Football,Barstool Sports,1,teejb56,@bass7_tj,Pac-12,1,1,0
1952,Dillon Kark,Michigan State University,Baseball,Barstool Sports,1,dillonkark2,@KarkDillon,Big 10,1,1,0
1953,Bridget Parker,Dartmouth College,Swimming and Diving,Barstool Sports,1,bridgetparker4,@bridgetparker_,Non Power Five Conference,1,1,1
1954,Chidi Nna,Bryant University,Football,Barstool Sports,1,the_nna_show,@Chidifootball50,Non Power Five Conference,1,1,1
1955,Isaiah Cohens,Gonzaga University,Baseball,Barstool Sports,1,zaecohens,@IsaiahCohens1,Non Power Five Conference,1,1,1
1956,Garrett Lyons,Saint Joseph's University,Soccer,Barstool Sports,1,garrett.lyons,@GarrettLyons31,Non Power Five Conference,1,1,1
1957,Alexa Hasting,West Virginia University,Volleyball,Barstool Sports,1,alexahasting,@AlexaHasting,Big 12,1,1,0
1958,Kylee Harvey,Sacred Heart University,Softball,Barstool Sports,1,kharv18,@kyharv18,Non Power Five Conference,1,1,1
1959,Adam Goodsir,Michigan State University,Ice Hockey,Barstool Sports,1,a_goody88,@A_Goody88,Big 10,1,1,0
1960,Robert Gallop,Boston University,Lacrosse,Barstool Sports,1,robertgallop6,,Non Power Five Conference,1,0,1
1961,Bogdan Ivanov,Pennsylvania State University,Volleyball,Barstool Sports,1,bogdan.ivanov,,Big 10,1,0,0
1962,Michael Mallas,Lafayette College,Baseball,Barstool Sports,1,michaelmallas,@mallas_michael,Non Power Five Conference,1,1,1
1963,Garrett Dzuro,University of Massachusetts Amherst,Football,Barstool Sports,1,garrett_dzuro_,@GarrettDzuro,Non Power Five Conference,1,1,1
1964,Ayaan Sohail,Lamar University,Basketball,Barstool Sports,1,ayaansohaill,@AyaanSohail11,Non Power Five Conference,1,1,1
1965,Nate Vontz,Creighton University,Golf,Barstool Sports,1,nate_vontz,@natevontz,Non Power Five Conference,1,1,1
1966,Campbell Parker,The Citadel,Football,Barstool Sports,1,campbellparker__,@CampbellParker_,Non Power Five Conference,1,1,1
1967,Andre Gonzales,The Ohio State University,Wrestling,Barstool Sports,1,andre.gonzo,,Big 10,1,0,0
1968,Alex Reelfs,Santa Clara University,Baseball,Barstool Sports,1,alex_reelfs,@areelfs,Non Power Five Conference,1,1,1
1969,Tucker Denault,Jacksonville University,Lacrosse,Barstool Sports,1,tuckerdenaultt,@TuckerDenault,Non Power Five Conference,1,1,1
1970,Evan Brown,University of Mississippi,Golf,Barstool Sports,1,evan_brown_24,@evanbrowngolf24,Southeastern Conference,1,1,0
1971,Justin Rabin,Loyola University New Orleans,Golf,Barstool Sports,1,justin.rabin,,Non Power Five Conference,1,0,1
1972,Claudia Dipasupil,University of Tennessee,Soccer,Barstool Sports,1,cdipasupil_,@cdipasupil12,Southeastern Conference,1,1,0
1973,Dawson Nobriga,University of North Texas,Football,Barstool Sports,1,flyn_hawaiian44,@nobriga_dawson,Non Power Five Conference,1,1,1
1974,Natalie Tyson,East Carolina University,Volleyball,Barstool Sports,1,natalie.tysonn,@natalie_tyson14,Non Power Five Conference,1,1,1
1975,Bryce Henkel,Boston College,Swimming and Diving,Barstool Sports,1,brychenk,@brychenk,Atlantic Coast Conference,1,1,0
1976,Maddie Sturgell,Jacksonville University,Lacrosse,Barstool Sports,1,madster123,@maddiesturg,Non Power Five Conference,1,1,1
1977,James Nowicki,Monmouth College,Lacrosse,Barstool Sports,1,jamesnowicki,@JamesNowicki,Non Power Five Conference,1,1,1
1978,Paul Grattan,"University of California, Los Angeles",Football,Barstool Sports,1,pgratt,@Grattan65,Pac-12,1,1,0
1979,Brayden O'Neill,University of Alabama in Huntsville,Lacrosse,Barstool Sports,1,brayden_o5,@brayden_o5,Non Power Five Conference,1,1,1
1980,Tristan Usher,George Mason University,Lacrosse,Barstool Sports,1,tris.usher,@trisusher12,Non Power Five Conference,1,1,1
1981,MJ Lucas,University of North Carolina at Asheville,Baseball,Barstool Sports,1,mjdotlucas,@MJdotLucas,Non Power Five Conference,1,1,1
